SEASON_ID,TEAM_ABBREVIATION,PTS
2025-26,IND,121
2025-26,NYK,96
2025-26,MIL,106
2025-26,LAC,115
2025-26,DAL,149
2025-26,WAS,117
2025-26,MIA,143
2025-26,CHA,110
2025-26,MEM,101
2025-26,NOP,126
2025-26,ATL,117
2025-26,BKN,101
2025-26,PHX,135
2025-26,DET,133
2025-26,UTA,107
2025-26,HOU,132
2025-26,BOS,113
2025-26,CHI,128
2025-26,POR,122
2025-26,GSW,110
2025-26,OKC,103
2025-26,TOR,136
2025-26,LAL,131
2025-26,PHI,126
2025-26,SAC,110
2025-26,SAS,118
2025-26,ORL,108
2025-26,CLE,130
2025-26,DEN,128
2025-26,MIN,132
2025-26,DET,118
2025-26,PHI,105
2025-26,LAL,101
2025-26,CLE,102
2025-26,BOS,144
2025-26,NYK,112
2025-26,ORL,127
2025-26,UTA,147
2025-26,WAS,117
2025-26,CHA,100
2025-26,MIN,136
2025-26,DAL,120
2025-26,BKN,108
2025-26,IND,94
2025-26,POR,116
2025-26,SAC,124
2025-26,ATL,124
2025-26,HOU,132
2025-26,PHX,73
2025-26,DEN,127
2025-26,LAC,97
2025-26,MEM,101
2025-26,MIL,125
2025-26,SAS,139
2025-26,CHI,103
2025-26,NOP,118
2025-26,TOR,95
2025-26,OKC,107
2025-26,MIA,140
2025-26,GSW,118
2025-26,MIA,114
2025-26,GSW,103
2025-26,PHI,102
2025-26,BOS,106
2025-26,IND,123
2025-26,WAS,108
2025-26,LAL,119
2025-26,NYK,112
2025-26,BKN,94
2025-26,HOU,113
2025-26,TOR,128
2025-26,CHI,119
2025-26,DEN,136
2025-26,DAL,107
2025-26,ORL,132
2025-26,PHX,112
2025-26,CLE,122
2025-26,MIL,111
2025-26,MEM,119
2025-26,DET,137
2025-26,SAS,112
2025-26,LAC,110
2025-26,ATL,116
2025-26,MIN,120
2025-26,OKC,128
2025-26,POR,101
2025-26,BOS,113
2025-26,LAC,116
2025-26,DAL,103
2025-26,CHA,102
2025-26,CHI,129
2025-26,LAL,87
2025-26,HOU,119
2025-26,IND,104
2025-26,OKC,123
2025-26,MIN,124
2025-26,BKN,96
2025-26,WAS,98
2025-26,SAC,105
2025-26,UTA,137
2025-26,MIL,90
2025-26,TOR,121
2025-26,NOP,156
2025-26,PHX,105
2025-26,MIA,95
2025-26,GSW,110
2025-26,CLE,142
2025-26,ORL,123
2025-26,POR,132
2025-26,PHI,102
2025-26,MEM,126
2025-26,SAS,115
2025-26,NYK,108
2025-26,ATL,105
2025-26,DEN,137
2025-26,DET,107
2025-26,UTA,111
2025-26,BOS,115
2025-26,GSW,116
2025-26,MEM,115
2025-26,MIN,108
2025-26,CLE,117
2025-26,BKN,121
2025-26,LAL,128
2025-26,NOP,108
2025-26,TOR,101
2025-26,CHI,110
2025-26,DAL,134
2025-26,MIL,131
2025-26,WAS,115
2025-26,CHA,122
2025-26,LAC,138
2025-26,ORL,112
2025-26,PHX,120
2025-26,SAC,109
2025-26,IND,108
2025-26,OKC,146
2025-26,HOU,117
2025-26,DEN,136
2025-26,SAS,134
2025-26,PHI,93
2025-26,WAS,136
2025-26,DET,116
2025-26,MIA,152
2025-26,ORL,138
2025-26,MIN,103
2025-26,CHI,96
2025-26,NYK,136
2025-26,UTA,106
2025-26,NOP,113
2025-26,DAL,127
2025-26,TOR,128
2025-26,SAC,117
2025-26,ATL,141
2025-26,MIL,101
2025-26,IND,108
2025-26,MEM,96
2025-26,HOU,140
2025-26,PHI,115
2025-26,BOS,133
2025-26,CHA,129
2025-26,BKN,107
2025-26,CLE,118
2025-26,GSW,111
2025-26,OKC,139
2025-26,MIN,108
2025-26,NOP,106
2025-26,PHX,107
2025-26,LAL,96
2025-26,DET,113
2025-26,CHA,127
2025-26,POR,118
2025-26,LAC,99
2025-26,SAS,118
2025-26,UTA,117
2025-26,SAS,127
2025-26,MEM,119
2025-26,BOS,147
2025-26,ATL,130
2025-26,MIA,129
2025-26,ORL,101
2025-26,DEN,130
2025-26,GSW,113
2025-26,HOU,119
2025-26,CHI,126
2025-26,WAS,131
2025-26,PHI,153
2025-26,IND,145
2025-26,MIL,113
2025-26,NYK,130
2025-26,SAC,123
2025-26,TOR,115
2025-26,PHX,111
2025-26,LAC,104
2025-26,POR,114
2025-26,DET,127
2025-26,CLE,113
2025-26,NYK,94
2025-26,HOU,111
2025-26,LAL,127
2025-26,BKN,86
2025-26,ORL,115
2025-26,CHA,117
2025-26,TOR,116
2025-26,DAL,99
2025-26,MIL,123
2025-26,ATL,112
2025-26,DET,110
2025-26,OKC,114
2025-26,BOS,102
2025-26,LAL,120
