SEASON_ID,TEAM_ABBREVIATION,PTS
2024-25,PHI,114
2024-25,NYK,113
2024-25,IND,119
2024-25,MIL,117
2024-25,WAS,119
2024-25,DEN,127
2024-25,BKN,86
2024-25,CHA,104
2024-25,ATL,114
2024-25,DET,122
2024-25,MEM,140
2024-25,ORL,111
2024-25,UTA,103
2024-25,NYK,128
2024-25,HOU,121
2024-25,SAS,96
2024-25,DAL,113
2024-25,SAC,105
2024-25,GSW,86
2024-25,MIA,112
2024-25,OKC,121
2024-25,POR,111
2024-25,CLE,122
2024-25,CHI,129
2024-25,DEN,119
2024-25,BOS,113
2024-25,BKN,101
2024-25,PHX,108
2024-25,ORL,118
2024-25,MIN,103
2024-25,SAC,95
2024-25,DAL,120
2024-25,WAS,104
2024-25,NOP,112
2024-25,IND,119
2024-25,TOR,112
2024-25,MIL,106
2024-25,LAL,106
2024-25,PHI,99
2024-25,DET,136
2024-25,DEN,116
2024-25,UTA,91
2024-25,TOR,89
2024-25,PHI,119
2024-25,HOU,111
2024-25,MIA,122
2024-25,LAC,101
2024-25,NOP,130
2024-25,SAS,123
2024-25,CLE,120
2024-25,CHA,105
2024-25,POR,116
2024-25,OKC,103
2024-25,BOS,129
2024-25,ATL,132
2024-25,GSW,115
2024-25,CHI,146
2024-25,LAL,115
2024-25,ATL,124
2024-25,WAS,103
2024-25,NYK,122
2024-25,MIL,114
2024-25,SAC,108
2024-25,BKN,103
2024-25,IND,108
2024-25,DET,117
2024-25,PHI,120
2024-25,MIA,98
2024-25,DEN,109
2024-25,UTA,99
2024-25,BOS,121
2024-25,WAS,105
2024-25,ORL,120
2024-25,LAC,128
2024-25,NOP,93
2024-25,SAS,128
2024-25,MIN,134
2024-25,POR,128
2024-25,OKC,141
2024-25,CLE,112
2024-25,DAL,123
2024-25,HOU,102
2024-25,CHA,106
2024-25,MEM,108
2024-25,PHX,123
2024-25,SAC,116
2024-25,CHI,128
2024-25,TOR,114
2024-25,CHA,115
2024-25,GSW,117
2024-25,BKN,99
2024-25,MIL,118
2024-25,NYK,98
2024-25,IND,105
2024-25,LAL,89
2024-25,DET,116
2024-25,HOU,116
2024-25,MIN,115
2024-25,PHI,100
2024-25,DAL,131
2024-25,OKC,133
2024-25,WAS,112
2024-25,DEN,108
2024-25,MIA,113
2024-25,IND,135
2024-25,NYK,105
2024-25,PHX,127
2024-25,SAS,120
2024-25,LAL,120
2024-25,POR,115
2024-25,UTA,128
2024-25,CLE,119
2024-25,SAC,123
2024-25,ORL,108
2024-25,CHI,121
2024-25,MEM,99
2024-25,NOP,119
2024-25,CLE,119
2024-25,MIL,93
2024-25,LAC,132
2024-25,ATL,134
2024-25,GSW,104
2024-25,BOS,104
2024-25,CHA,102
2024-25,BKN,96
2024-25,MIN,130
2024-25,WAS,97
2024-25,MIA,95
2024-25,IND,132
2024-25,TOR,89
2024-25,UTA,97
2024-25,SAC,132
2024-25,LAL,125
2024-25,NYK,116
2024-25,SAS,109
2024-25,PHX,129
2024-25,POR,112
2024-25,HOU,144
2024-25,GSW,105
2024-25,NOP,81
2024-25,DEN,114
2024-25,CHI,111
2024-25,DET,127
2024-25,MEM,122
2024-25,PHI,137
2024-25,MIL,105
2024-25,TOR,102
2024-25,LAC,123
2024-25,POR,105
2024-25,CHA,88
2024-25,OKC,121
2024-25,CLE,103
2024-25,LAL,107
2024-25,PHI,130
2024-25,PHX,96
2024-25,MIN,128
2024-25,ATL,114
2024-25,UTA,102
2024-25,BKN,122
2024-25,DAL,125
2024-25,ORL,108
2024-25,SAS,119
2024-25,GSW,97
2024-25,CHI,114
2024-25,NYK,94
2024-25,MEM,125
2024-25,MIA,91
2024-25,IND,119
2024-25,DET,107
2024-25,BOS,115
2024-25,MIL,126
2024-25,WAS,126
2024-25,NOP,115
2024-25,HOU,117
2024-25,OKC,113
2024-25,DEN,123
2024-25,BKN,113
2024-25,BOS,103
2024-25,PHI,100
2024-25,ORL,111
2024-25,CHA,145
2024-25,SAS,134
2024-25,DAL,96
2024-25,LAL,126
2024-25,IND,112
2024-25,CLE,133
2024-25,SAC,106
2024-25,MIA,91
2024-25,ATL,98
2024-25,HOU,133
2024-25,TOR,126
2024-25,UTA,118
2024-25,LAC,121
2024-25,MEM,124
2024-25,PHX,122
2024-25,MIN,118
2024-25,DEN,131
2024-25,ORL,113
2024-25,MIL,126
2024-25,NOP,93
2024-25,LAL,106
2024-25,DET,125
2024-25,WAS,129
2024-25,GSW,130
2024-25,CHI,116
2024-25,SAC,104
2024-25,BKN,110
2024-25,SAS,126
2024-25,MEM,122
2024-25,BOS,112
2024-25,CHA,110
2024-25,PHX,104
2024-25,DEN,95
2024-25,NYK,114
2024-25,PHI,105
2024-25,MIA,104
2024-25,UTA,115
2024-25,TOR,118
2024-25,DAL,116
2024-25,POR,113
2024-25,OKC,118
2024-25,MIN,115
2024-25,ATL,123
2024-25,LAC,119
2024-25,HOU,111
2024-25,IND,115
2024-25,LAC,120
2024-25,MIL,114
2024-25,WAS,103
2024-25,CLE,109
2024-25,NOP,127
2024-25,BKN,104
2024-25,DET,123
2024-25,MEM,120
2024-25,BOS,114
2024-25,DAL,133
2024-25,SAC,104
2024-25,SAS,129
2024-25,PHI,123
2024-25,GSW,130
2024-25,ATL,132
2024-25,HOU,97
2024-25,NYK,133
2024-25,IND,103
2024-25,PHX,118
2024-25,LAL,108
2024-25,UTA,108
2024-25,CHA,105
2024-25,ORL,84
2024-25,MIA,102
2024-25,BKN,111
2024-25,TOR,119
2024-25,OKC,127
2024-25,WAS,104
2024-25,POR,120
2024-25,DEN,140
2024-25,CHI,121
2024-25,SAS,124
2024-25,MEM,107
2024-25,CLE,112
2024-25,MIL,100
2024-25,POR,112
2024-25,SAC,110
2024-25,LAC,111
2024-25,DET,119
2024-25,OKC,127
2024-25,DAL,116
2024-25,UTA,122
2024-25,PHI,126
2024-25,DEN,103
2024-25,NOP,104
2024-25,PHX,125
2024-25,MIN,141
2024-25,MIA,109
2024-25,GSW,115
2024-25,BKN,102
2024-25,CHI,114
2024-25,MIL,109
2024-25,HOU,146
2024-25,NOP,117
2024-25,IND,118
2024-25,BOS,111
2024-25,ORL,111
2024-25,ATL,120
2024-25,CHA,105
2024-25,LAL,101
2024-25,TOR,117
2024-25,DET,110
2024-25,WAS,118
2024-25,DEN,149
2024-25,TOR,118
2024-25,POR,89
2024-25,MEM,122
2024-25,MIA,104
2024-25,CHA,117
2024-25,PHX,141
2024-25,MIN,106
2024-25,UTA,109
2024-25,SAS,109
2024-25,SAC,127
2024-25,OKC,107
2024-25,LAC,105
2024-25,DAL,111
2024-25,NYK,95
2024-25,CLE,118
2024-25,NOP,97
2024-25,CHI,125
2024-25,PHI,105
2024-25,GSW,121
2024-25,ATL,124
2024-25,BOS,123
2024-25,LAL,113
2024-25,BKN,119
2024-25,ORL,123
2024-25,IND,118
2024-25,HOU,109
2024-25,NYK,109
2024-25,CHA,110
2024-25,WAS,125
2024-25,DEN,116
2024-25,DET,115
2024-25,UTA,122
2024-25,SAC,110
2024-25,CLE,112
2024-25,MIL,137
2024-25,BOS,128
2024-25,LAC,123
2024-25,MEM,103
2024-25,POR,118
2024-25,DAL,107
2024-25,MIN,125
2024-25,MIA,107
2024-25,OKC,120
2024-25,ATL,121
2024-25,ORL,113
2024-25,MIN,126
2024-25,MIL,127
2024-25,PHX,119
2024-25,GSW,114
2024-25,LAL,136
2024-25,NOP,115
2024-25,BKN,113
2024-25,CLE,139
2024-25,NYK,102
2024-25,SAS,127
2024-25,CHI,117
2024-25,TOR,114
2024-25,PHI,112
2024-25,HOU,102
2024-25,LAC,117
2024-25,IND,115
2024-25,OKC,137
2024-25,CHA,101
2024-25,DET,134
2024-25,POR,119
2024-25,PHI,102
2024-25,ATL,132
2024-25,MIA,106
2024-25,GSW,119
2024-25,MEM,130
2024-25,WAS,90
2024-25,HOU,128
2024-25,DAL,98
2024-25,UTA,106
2024-25,SAC,122
2024-25,UTA,121
2024-25,MIN,116
2024-25,IND,127
2024-25,LAL,108
